,Programa  de  CEDEAR,Alcance  Público  Inversor,Ratio  Cedear  /  valor  sub-yacente,ISIN  CEDEAR,Código  Caja  de  Valores,Id  de  mercado,Ticker  en  mercado  de  origen,ISIN  valor  subyacente,Valor  sub-yacente,País,Mercado  de  valor  subyacente,Frecuencia  de  pago  de  dividendo,Industra  o  sector,Sitio  web
23,ARCOS DORADOS HOLDINGS INC-A,Calificado y No Calificado,1:2,ARBCOM460135,8496,ARCO,ARCO,VGG0457F1071 ISIN,Acción ordinaria,URUGUAY,New York,3x a yr,"Consumer, Cyclical",Link
24,ASTRAZENECA PLC-SPONS ADR,Calificado y No Calificado,2:1,ARDEUT112489,8244,AZN,AZN,US0463531089 ISIN,ADR,REINO UNIDO,NASDAQ GS,Semi-Anl,"Consumer, Non-cyclical",Link
25,AT&T INC,Calificado y No Calificado,3:1,ARDEUT111713,8177,T,T,US00206R1023 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Communications,Link
26,AUTOMATIC DATA PROCESSING,Calificado y No Calificado,6:1,ARDEUT110681,8073,ADP,ADP,US0530151036 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Non-cyclical",Link
27,AVERY DENNISON CORP,Calificado y No Calificado,3:1,ARDEUT110707,8075,AVY,AVY,US0536111091 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
28,AVIS BUDGET GROUP INC,Calificado y No Calificado,1:1,ARDEUT110822,8087,CAR,CAR,US0537741052 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Irreg,"Consumer, Non-cyclical",Link
29,BAIDU INC - SPON ADR,Calificado y No Calificado,11:1,ARBCOM4601U6,8501,BIDU,BIDU,US0567521085 ISIN,ADR,CHINA,NASDAQ GS,None,Communications,Link
30,BANCO BILBAO VIZCAYA-SP ADR,Calificado y No Calificado,1:1,ARDEUT112232,8229,BBVA,BBVA,US05946K1016 ISIN,ADR,ESPAÑA,New York,Semi-Anl,Financial,Link
31,BANCO BRADESCO-ADR,Calificado y No Calificado,1:1,ARDEUT116001,8431,BBD,BBD,US0594603039 ISIN,ADR,BRASIL,New York,Irreg,Financial,Link
32,BANCO SANTANDER BRASIL-ADS,Calificado y No Calificado,1:1,ARDEUT115995,8430,BSBR,BSBR,US05967A1079 ISIN,ADR,BRASIL,New York,Annual,Financial,Link
33,BANCO SANTANDER SA-SPON ADR,Calificado y No Calificado,1:4,ARBCOM4602T6,8525,SAN,SAN,US05964H1059 ISIN,ADR,ESPAÑA,New York,Semi-Anl,Financial,Link
34,BANK OF AMERICA CORP,Calificado y No Calificado,2:1,ARDEUT112851,8281,BAC,BAC,US0605051046 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
35,BANK OF NEW YORK MELLON CORP,Calificado y No Calificado,2:1,ARDEUT110756,8080,BK,BK,US0640581007 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
36,BARCLAYS PLC-SPONS ADR,Calificado y No Calificado,1:1,ARDEUT111770,8183,BCS,BCS,US06738E2046 ISIN,ADR,REINO UNIDO,New York,Semi-Anl,Financial,Link
37,BARRICK GOLD CORP,Calificado y No Calificado,1:1,ARDEUT112562,8260,GOLD,GOLD,CA0679011084 ISIN,Acción ordinaria,CANADA,New York,Quarter,Basic Materials,Link
38,BASF SE,Calificado y No Calificado,2:1,ARDEUT112497,8245,BAS,BAS GR,DE000BASF111 ISIN,Acción ordinaria,ALEMANIA,OTC US,Annual,Basic Materials,Link
39,BAYER AG-REG,Calificado y No Calificado,3:1,ARDEUT112414,8246,BAYN,BAY GR,DE000BAY0017 ISIN,Acción ordinaria,ALEMANIA,OTC US,Annual,"Consumer, Non-cyclical",Link
40,BERKSHIRE HATHAWAY INC-CL B,Calificado y No Calificado,22:1,ARBCOM4603L1,8529,BRKB,BRK/B,US0846707026 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,None,Financial,Link
41,BHP GROUP LTD-SPON ADR,Calificado y No Calificado,2:1,ARDEUT112992,8295,BHP,BHP,US0886061086 ISIN,ADR,AUSTRALIA,New York,Semi-Anl,Basic Materials,Link
42,BIOCERES CROP SOLUTIONS CORP,Calificado y No Calificado,1:2,ARBCOM4603K3,8530,BIOX,BIOX,KYG1117K1141 ISIN,Acción ordinaria,ARGENTINA,NYSEAmerican,None,"Consumer, Non-cyclical",Link
43,BIOGEN INC,Calificado y No Calificado,13:1,ARBCOM4601A8,8471,BIIB,BIIB,US09062X1037 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,"Consumer, Non-cyclical",Link
44,BLACKBERRY LTD,Calificado y No Calificado,3:1,ARDEUT116142,8441,BB,BB,CA09228F1036 ISIN,Acción ordinaria,CANADA,New York,None,Technology,Link
45,BOEING CO/THE,Calificado y No Calificado,6:1,ARDEUT110061,8011,BA,BA,US0970231058 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Irreg,Industrial,Link
46,BP PLC-SPONS ADR,Calificado y No Calificado,5:1,ARDEUT110582,8063,BP,BP,US0556221044 ISIN,ADR,REINO UNIDO,New York,Quarter,Energy,Link
47,BRF SA-ADR,Calificado y No Calificado,1:3,ARBCOM460218,8510,BRFS,BRFS,US10552T1079 ISIN,ADR,BRASIL,New York,Irreg,"Consumer, Non-cyclical",Link
48,BRISTOL-MYERS SQUIBB CO,Calificado y No Calificado,3:1,ARDEUT112877,8283,BMY,BMY,US1101221083 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
49,BROADCOM INC,Calificado y No Calificado,39:1,ARBCOM4603J5,8531,AVGO,AVGO,US11135F1012 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
50,BUNGE LTD,Calificado y No Calificado,5:1,ARDEUT115029,8399,BNG,BG,BMG169621056 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
51,CANON INC-SPONS ADR,Calificado y No Calificado,2:1,ARDEUT112968,8292,CAJ,CAJ,US1380063099 ISIN,ADR,JAPON,New York,Semi-Anl,Technology,Link
52,CARDINAL HEALTH INC,Calificado y No Calificado,3:1,ARDEUT110798,8084,CAH,CAH,US14149Y1082 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
53,CATERPILLAR INC,Calificado y No Calificado,5:1,ARDEUT110079,8012,CAT,CAT,US1491231015 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
54,CEMEX SAB-SPONS ADR PART CER,Calificado y No Calificado,1:1,ARDEUT112216,8227,CX,CX,US1512908898 ISIN,ADR,MEXICO,New York,Semi-Anl,Industrial,Link
55,CENTRAIS ELETRICAS BR-SP ADR,Calificado y No Calificado,1:4,ARBCOM4602G3,8519,EBR,EBR,US15234Q2075 ISIN,ADR,BRASIL,New York,Irreg,Utilities,Link
56,CHEVRON CORP,Calificado y No Calificado,8:1,ARDEUT110087,8013,CVX,CVX,US1667641005 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Energy,Link
57,CHINA LIFE INSURANCE CO-ADR,Calificado y No Calificado,2:1,ARDEUT114055,8371,LFC,LFC,US16939P1066 ISIN,ADR,CHINA,New York,Annual,Financial,Link
58,CHINA MOBILE LTD-SPON ADR,Calificado y No Calificado,3:1,ARDEUT111812,8187,CHL,CHL,US16941M1099 ISIN,ADR,HONG KONG,,Semi-Anl,Communications,Link
59,CHINA PETROLEUM & CHEM-ADR,Calificado y No Calificado,3:1,ARDEUT114071,8373,SNP,SNP,US16941R1086 ISIN,ADR,CHINA,New York,Semi-Anl,Energy,Link
60,CHINA TELECOM CORP LTD-ADR,Calificado y No Calificado,2:1,ARDEUT114014,8367,CHA,CHA,US1694261033 ISIN,ADR,CHINA,,Annual,Communications,Link
61,CIA BRASILEIRA DE DIS- ADR,Calificado y No Calificado,1:1,ARBCOM460234,8511,CBD,CBD,US20440T3005 ISIN,ADR,BRASIL,New York,Annual,"Consumer, Non-cyclical",Link
62,CIA PARANAENSE ENER-SP ADR P,Calificado y No Calificado,1:3,ARBCOM460283,8520,ELP,ELP,US20441B6056 ISIN,ADR,BRASIL,New York,Irreg,Utilities,Link
63,CIA SANEAMENTO BASICO DE-ADR,Calificado y No Calificado,1:2,ARBCOM4602F5,8512,SBS,SBS,US20441A1025 ISIN,ADR,BRASIL,New York,Irreg,Utilities,Link
64,CIA SIDERURGICA NACL-SP ADR,Calificado y No Calificado,1:8,ARBCOM4602B4,8522,SID,SID,US20440W1053 ISIN,ADR,BRASIL,New York,Semi-Anl,Basic Materials,Link
65,CISCO SYSTEMS INC,Calificado y No Calificado,5:1,ARDEUT110095,8014,CSCO,CSCO,US17275R1023 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Communications,Link
66,CITIGROUP INC,Calificado y No Calificado,3:1,ARDEUT110426,8046,C,C,US1729674242 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
67,CNOOC LTD.,Calificado y No Calificado,4:1,ARDEUT114006,8366,CEO,CEO,US1261321095 ISIN,ADR,CHINA,New York,Semi-Anl,Energy,Link
68,COCA-COLA CO/THE,Calificado y No Calificado,5:1,ARDEUT110111,8006,KO,KO,US1912161007 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
69,COCA-COLA FEMSA SAB-SP ADR,Calificado y No Calificado,2:1,ARDEUT115201,8401,KOFM,KOF,US1912411089 ISIN,ADR,MEXICO,New York,Semi-Anl,"Consumer, Non-cyclical",Link
70,COEUR MINING INC,Calificado y No Calificado,1:1,ARDEUT115409,8418,CDE,CDE,US1921085049 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Irreg,Basic Materials,Link
71,COLGATE-PALMOLIVE CO,Calificado y No Calificado,3:1,ARDEUT110855,8090,CL,CL,US1941621039 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
72,CORNING INC,Calificado y No Calificado,4:1,ARDEUT111002,8105,GLW,GLW,US2193501051 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Communications,Link
73,CORP AMERICA AIRPORTS SA,Calificado y No Calificado,1:4,ARBCOM4603I7,8532,CAAP,CAAP,LU1756447840 ISIN,Acción ordinaria,ARGENTINA,New York,None,"Consumer, Non-cyclical",Link
74,COSTCO WHOLESALE CORP,Calificado y No Calificado,12:1,ARDEUT110863,8091,COST,COST,US22160K1051 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Cyclical",Link
75,CREDIT SUISSE GROUP-SPON ADR,Calificado y No Calificado,1:1,ARDEUT112422,8247,CS,CS,US2254011081 ISIN,ADR,SUIZA,New York,Semi-Anl,Financial,Link
76,DAIMLER AG-REGISTERED SHARES,Calificado y No Calificado,4:1,ARDEUT111820,8188,DAI,DAI GR,DE0007100000 ISIN,Acción ordinaria,ALEMANIA,OTC US,Annual,"Consumer, Cyclical",Link
77,DANONE,Calificado y No Calificado,20:1,ARDEUT110491,8053,BSN,BSN GR,FR0000120644 ISIN,Acción ordinaria,FRANCIA,OTC US,Annual,"Consumer, Non-cyclical",Link
78,DEERE & CO,Calificado y No Calificado,10:1,ARDEUT110905,8095,DE,DE,US2441991054 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
79,DESPEGAR.COM CORP,Calificado y No Calificado,1:1,ARBCOM4600X2,8497,DESP,DESP,VGG273581030 ISIN,Acción ordinaria,ARGENTINA,New York,None,Communications,Link
80,DEUTSCHE TELEKOM AG-SPON ADR,Calificado y No Calificado,3:1,ARDEUT111838,8189,DTEA,DTEA GR,US2515661054 ISIN,ADR,ALEMANIA,OTC US,Annual,Communications,Link
81,DIAGEO PLC-SPONSORED ADR,Calificado y No Calificado,6:1,ARDEUT112505,8248,DEO,DEO,US25243Q2057 ISIN,ADR,REINO UNIDO,New York,Semi-Anl,"Consumer, Non-cyclical",Link
82,DOCUSIGN INC,Calificado y No Calificado,22:1,ARBCOM4603H9,8533,DOCU,DOCU,US2561631068 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Technology,Link
83,DUPONT DE NEMOURS INC,Calificado y No Calificado,5:1,ARDEUT110145,8018,DD,DD,US26614N1028 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
84,E.ON SE,Calificado y No Calificado,6:1,ARDEUT112109,8216,EOAN,EOAN GR,DE000ENAG999 ISIN,Acción ordinaria,ALEMANIA,OTC US,Annual,Utilities,Link
85,EBAY INC,Calificado y No Calificado,2:1,ARDEUT116167,8443,EBAY,EBAY,US2786421030 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Communications,Link
86,ELI LILLY & CO,Calificado y No Calificado,8:1,ARDEUT111192,8124,LLY,LLY,US5324571083 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
87,EMBRAER SA-SPON ADR,Calificado y No Calificado,1:1,ARBCOM460291,8515,ERJ,ERJ,US29082A1079 ISIN,ADR,BRASIL,New York,Irreg,Industrial,Link
88,ENI SPA-SPONSORED ADR,Calificado y No Calificado,4:1,ARDEUT112612,8265,E,E,US26874R1086 ISIN,ADR,ITALIA,New York,Semi-Anl,Energy,Link
89,EQUIFAX INC,Calificado y No Calificado,16:1,ARBCOM460325,8544,EFX,EFX,US2944291051 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
90,ERICSSON (LM) TEL-SP ADR,Calificado y No Calificado,2:1,ARDEUT110525,8056,ERIC,ERIC,US2948216088 ISIN,ADR,Países Bajos,NASDAQ GS,Semi-Anl,Communications,Link
91,ETSY INC,Calificado y No Calificado,16:1,ARBCOM4603G1,8534,ETSY,ETSY,US29786A1060 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
92,EXXON MOBIL CORP,Calificado y No Calificado,5:1,ARDEUT110152,8019,XOM,XOM,US30231G1022 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Energy,Link
93,FACEBOOK INC-CLASS A,Calificado y No Calificado,8:1,ARBCOM460168,8467,FB,FB,US30303M1027 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Communications,Link
94,FANNIE MAE,Calificado y No Calificado,1:1,ARDEUT110970,8102,FNMA,FNMA,US3135861090 ISIN,Acción ordinaria,ESTADOS UNIDOS,OTC US,Irreg,Financial,Link
95,FEDEX CORP,Calificado y No Calificado,10:1,ARDEUT110962,8101,FDX,FDX,US31428X1063 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
96,FIRST SOLAR INC,Calificado y No Calificado,3:1,ARDEUT116126,8439,FSLR,FSLR,US3364331070 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,None,Energy,Link
97,FOMENTO ECONOMICO MEX-SP ADR,Calificado y No Calificado,2:1,ARDEUT111853,8191,FMX,FMX,US3444191064 ISIN,ADR,MEXICO,New York,Semi-Anl,"Consumer, Non-cyclical",Link
98,FREDDIE MAC,Calificado y No Calificado,1:1,ARDEUT112323,8238,FMCC,FMCC,US3134003017 ISIN,Acción ordinaria,ESTADOS UNIDOS,OTC US,Irreg,Financial,Link
99,FREEPORT-MCMORAN INC,Calificado y No Calificado,1:1,ARDEUT116076,8434,FCX,FCX,US35671D8570 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
100,GARMIN LTD,Calificado y No Calificado,3:1,ARBCOM4601G5,8487,GRMN,GRMN,CH0114405324 ISIN,Acción ordinaria,SUIZA,NASDAQ GS,Quarter,Industrial,Link
101,GAZPROM PJSC-SPON ADR,Calificado y No Calificado,2:1,ARDEUT114261,8379,OGZD,OGZPY,US3682872078 ISIN,ADR,RUSSIA,OTC US,Annual,Energy,Link
102,GENERAL ELECTRIC CO,Calificado y No Calificado,1:1,ARDEUT110160,8020,GE,GE,US369604301 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
103,GEOPARK LTD,Calificado y No Calificado,1:1,ARBCOM4603F3,8535,GPRK,GPRK,BMG383271050 ISIN,Acción ordinaria,CHILE,New York,Quarter,Energy,Link
104,GERDAU SA -SPON ADR,Calificado y No Calificado,1:4,ARBCOM460200,8509,GGB,GGB,US3737371050 ISIN,ADR,BRASIL,New York,Quarter,Basic Materials,Link
105,GILEAD SCIENCES INC,Calificado y No Calificado,4:1,ARBCOM4601C4,8473,GILD,GILD,US3755581036 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,"Consumer, Non-cyclical",Link
106,GLAXOSMITHKLINE PLC-SPON ADR,Calificado y No Calificado,4:1,ARDEUT110483,8052,GSK,GSK,US37733W1053 ISIN,ADR,REINO UNIDO,New York,Quarter,"Consumer, Non-cyclical",Link
107,GLOBANT SA,Calificado y No Calificado,6: 1,ARBCOM460150,8499,GLOB,GLOB,LU0974299876 ISIN,Acción ordinaria,URUGUAY,New York,None,Technology,Link
108,GOLD FIELDS LTD-SPONS ADR,Calificado y No Calificado,1:1,ARDEUT115425,8420,GFI,GFI,US38059T1060 ISIN,ADR,SUDÁFRICA,New York,Semi-Anl,Basic Materials,Link
109,GOLDMAN SACHS GROUP INC,Calificado y No Calificado,13:1,ARBCOM460119,8494,GS,GS,US38141G1040 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
110,GRUPO AEROPORTUARIO PAC-ADR,Calificado y No Calificado,2:1,ARDEUT115177,8405,PAC,PAC,US4005061019 ISIN,ADR,MEXICO,New York,Semi-Anl,Industrial,Link
111,GRUPO AEROPORTUARIO SUR-ADR,Calificado y No Calificado,2:1,ARDEUT115185,8406,ASR,ASR,US40051E2028 ISIN,ADR,MEXICO,New York,Annual,Industrial,Link
112,GRUPO TELEVISA SA-SPON ADR,Calificado y No Calificado,3:1,ARDEUT112133,8219,TV,TV,US40049J2069 ISIN,ADR,MEXICO,New York,Annual,Communications,Link
113,HALLIBURTON CO,Calificado y No Calificado,2:1,ARBCOM4603E6,8536,HAL,HAL,US4062161017 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Energy,Link
114,HARLEY-DAVIDSON INC,Calificado y No Calificado,3:1,ARDEUT111069,8111,HOG,HOG,US4128221086 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Cyclical",Link
115,HARMONY GOLD MNG-SPON ADR,Calificado y No Calificado,1:1,ARDEUT115433,8421,HMY,HMY,US4132163001 ISIN,ADR,SUDÁFRICA,New York,Irreg,Basic Materials,Link
116,HDFC BANK LTD-ADR,Calificado y No Calificado,2:1,ARDEUT114022,8368,HDB,HDB,US40415F1012 ISIN,ADR,INDIA,New York,Annual,Financial,Link
117,HECLA MINING CO,Calificado y No Calificado,1:1,ARDEUT115417,8419,HL,HL,US4227041062 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
118,HERSHEY CO/THE,Calificado y No Calificado,3:1,ARDEUT111127,8117,HSY,HSY,US4278661081 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
119,HOME DEPOT INC,Calificado y No Calificado,8:1,ARDEUT111705,8176,HD,HD,US4370761029 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Cyclical",Link
120,HON HAI PRECISION-GDR REG S,Solo Calificado,2:1,ARDEUT115342,8412,HHPD LI,HNHPF,US4380908057 ISIN,GDR,TAIWAN,OTC US,Annual,Industrial,Link
121,HONDA MOTOR CO LTD-SPONS ADR,Calificado y No Calificado,1:1,ARDEUT112950,8291,HMC,HMC,US4381283088 ISIN,ADR,JAPON,New York,Quarter,"Consumer, Cyclical",Link
122,HONEYWELL INTERNATIONAL INC,Calificado y No Calificado,8:1,ARDEUT110038,8008,HON,HON,US4385161066 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
123,HOWMET AEROSPACE INC,Calificado y No Calificado,1:1,ARDEUT110020,8007,HWM,HWM,US4432011082 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Irreg,Industrial,Link
124,HP INC,Calificado y No Calificado,1:1,ARDEUT110194,8023,HPQ,HPQ,US40434L1052 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Technology,Link
125,HSBC HOLDINGS PLC-SPONS ADR,Calificado y No Calificado,2:1,ARDEUT112257,8231,HSBC,HSBC,US4042804066 ISIN,ADR,REINO UNIDO,New York,Quarter,Financial,Link
126,HUANENG POWER INTL-SPONS ADR,Calificado y No Calificado,1:1,ARDEUT114030,8369,HNP,HNP,US4433041005 ISIN,ADR,CHINA,New York,Annual,Utilities,Link
127,ICICI BANK LTD-SPON ADR,Calificado y No Calificado,1:1,ARDEUT114048,8370,IBN,IBN,US45104G1040 ISIN,ADR,INDIA,New York,Annual,Financial,Link
128,INFOSYS LTD-SP ADR,Calificado y No Calificado,1:1,ARDEUT113941,8360,INFY,INFY,US4567881085 ISIN,ADR,INDIA,New York,Semi-Anl,Technology,Link
129,ING GROEP N.V.-SPONSORED ADR,Calificado y No Calificado,3:1,ARDEUT111937,8199,ING,ING,US4568371037 ISIN,ADR,Países Bajos,New York,Semi-Anl,Financial,Link
130,INTEL CORP,Calificado y No Calificado,5:1,ARDEUT110210,8025,INTC,INTC,US4581401001 ISIN,Acción ordinaria,ESTADOS UNIDOS,NASDAQ GS,Quarter,Technology,Link
131,INTERNATIONAL PAPER CO,Calificado y No Calificado,4:1,ARDEUT110228,8026,IP,IP,US4601461035 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
132,INTL BUSINESS MACHINES CORP,Calificado y No Calificado,5:1,ARDEUT110202,8024,IBM,IBM,US4592001014 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Technology,Link
133,INTL FLAVORS & FRAGRANCES,Calificado y No Calificado,2:1,ARDEUT111135,8118,IFF,IFF,US4595061015 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Basic Materials,Link
134,ITAU UNIBANCO H-SPON PRF ADR,Calificado y No Calificado,1:1,ARBCOM460267,8514,ITUB,ITUB,US4655621062 ISIN,ADR,BRASIL,New York,Monthly,Financial,Link
135,JD.COM INC-ADR,Calificado y No Calificado,2:1,ARBCOM4601Y8,8505,JD,JD,US47215P1066 ISIN,ADR,CHINA,NASDAQ GS,None,Communications,Link
136,JOHNSON & JOHNSON,Calificado y No Calificado,5:1,ARDEUT110236,8027,JNJ,JNJ,US4781601046 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
137,JOHNSON CONTROLS INTERNATION,Calificado y No Calificado,2:1,ARDEUT111630,8169,JCI,JCI,IE00BY7QL619 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
138,JOYY INC,Calificado y No Calificado,5:1,ARBCOM460242,8508,YY,YY,US46591M1099 ISIN,ADR,CHINA,NASDAQ GS,Quarter,Communications,Link
139,JPMORGAN CHASE & CO,Calificado y No Calificado,5:1,ARDEUT110244,8028,JPM,JPM,US46625H1005 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
140,KB FINANCIAL GROUP INC-ADR,Calificado y No Calificado,2:1,ARDEUT115268,8410,KB,KB,US48241A1051 ISIN,ADR,Corea del Sur,New York,Annual,Financial,Link
141,KIMBERLY-CLARK CORP,Calificado y No Calificado,6:1,ARDEUT111176,8122,KMB,KMB,US4943681035 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,"Consumer, Non-cyclical",Link
142,KINROSS GOLD CORP,Calificado y No Calificado,1:1,ARDEUT115391,8417,KGC,KGC,CA4969024047 ISIN,Acción ordinaria,CANADA,New York,Quarter,Basic Materials,Link
143,KONINKLIJKE PHILIPS NVR- NY,Calificado y No Calificado,5:1,ARDEUT110558,8059,PHG,PHG,US5004723038 ISIN,NY Reg Shrs,Países Bajos,New York,Annual,"Consumer, Non-cyclical",Link
144,KOREA ELEC POWER CORP-SP ADR,Calificado y No Calificado,1:1,ARDEUT115250,8409,KEP,KEP,US5006311063 ISIN,ADR,Corea del Sur,New York,Annual,Utilities,Link
145,LAS VEGAS SANDS CORP,Calificado y No Calificado,2:1,ARDEUT116092,8436,LVS,LVS,US5178341070 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Irreg,"Consumer, Cyclical",Link
146,LLOYDS BANKING GROUP PLC-ADR,Calificado y No Calificado,2:1,ARDEUT112513,8250,LYG,LYG,US5394391099 ISIN,ADR,REINO UNIDO,New York,Quarter,Financial,Link
147,LOCKHEED MARTIN CORP,Calificado y No Calificado,20:1,ARDEUT111200,8125,LMT,LMT,US5398301094 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Industrial,Link
148,LUKOIL PJSC-SPON ADR,Calificado y No Calificado,4:1,ARDEUT114253,8378,LKOD,LUKOY,US69343P1057 ISIN,ADR,RUSSIA,OTC US,Semi-Anl,Energy,Link
149,MARSH & MCLENNAN COS,Calificado y No Calificado,4:1,ARDEUT111309,8135,MMC,MMC,US5717481023 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
150,MASTERCARD INC - A,Calificado y No Calificado,33:1,ARBCOM4603D8,8537,MA,MA,US57636Q1040 ISIN,Acción ordinaria,ESTADOS UNIDOS,New York,Quarter,Financial,Link
